"","국내야구","스트리머","수능","만화","리그.오브.레전드","포켓몬스터","프로듀스.X.101","기타.국내.드라마","아이돌마스터","인터넷방송"
"66","맥심코리아 2019 성탄특집 미스맥심 우승자 김나정 아나운서 레드(B컷)","??? : 나도 팀장주면 잘할자신 있는데...","야근데 대성기숙 학원에서 메가시키면 욕먹냐?","이 짤 왤케 귀엽지","동네누나 지린다","ㄹㅇ 얍얍좌 포갤 갤주로서 첫대회 우승 자랑스럽다","정의의석앰 슼창년 라창에서부터꼭 '그 호모 상대' 까일때 유독 지랄남","현빈 손예진 결혼할거 같음?","아 란코 엉덩이 잘보고잇었는데 광고 씨발","■ 김건모가 반드시 승리해야하는 이유 ■"
"67","머하노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","래퍼드 개웃기누 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","페북에서 봤는데 서양인 쥬지 ㄹㅇ크더라","치도리가 뇌절열화판아니냐","나만의상점 또여는거 실화냐","결국 이거 의미가 뭐임?","투표해 걍 누르기만 하면됨","이상윤 연기 진짜 못해","도나쓰님 특기 10연뽑으면 연출 뭔가 일베충같음","별딩은 재결합가야지ㅋㅋ.gif"
"68","ㄹㅇ 10년전에 신돈감성이네 딱 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","이새기들 부끄럽게 포켓몬갤 씹창내네 ㅇㅇ","인서울 중하위권 졸업하고 국내 4대 기업중 한곳 근무중","고닉죽이기언제함?","이겜도 존나 모순적인거아님?","정상인이 포켓몬 오늘 시작해도 니들보단 잘할꺼같아","내일 배계린 새앨범","원래 멤버대 회사 싸우다가","전란코팬티같은거에 발정안함","고딩 디컵 혼딸 레전드"
"69","만원ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","동숙이 씨발 사신이 코치해줄때랑 티키타가 차이 존나 심하네 애미 ㅋㅋ","이제 9급도 공급 과잉이면 뭐 남냐 ㅋㅋ","짤그려봄","01","팩트)) 느그들이랑 얍얍이랑 뜨면 100전 100패임 ㅅㄱ","룩앳더미 어디서봄?","국위선양은 무슨 교통신호위반하고 사람 죽을뻔했는데","란코팬티에 눈돌아간 한남들 역겹네","철구? 말년에 킴성태 봉준이한테 개처럼 맞다가 튐"
"70","만원 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","지금 동수칸 / 쌍베 / 옥자 다 코칭 받으면서 행복사 중임 ㅋㅋㅋㅋㅋㅋ","지구과학 오지훈 안듣는 새끼들 특)","강용석 서울대 하버드석사엿네","야식마렵네","소드실드에서 엘풍 어때","브이앱 내놔","직능이ㅜ뭐임?","오늘은 집가는 버스타기전에 국수먹고갈까","아 근데 이건 ㅈㄴ웃기네ㅋㅋㅍㅍㅋㅋ"
"71","만원ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","피유 문도 존나 잘하노 ㅋㅋ","애미씨발 왜 한문하고 제2외국어 안쳤냐고 지금묻네","절대가련칠드런 재밋슴?","롤붕이들에게 덧니 어떤지 물어본다...","5v 오롱털 다른거랑 교환 가능한 솨람","회가 존나 ㅆㅅㅌㅊ 갓음식인 이유","초콜릿 둘 말야","6명이네","알려고 하지마 남순님한테 쓴거니까"
"72","만원짜리 리액션 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","동수칸 현재ㅋㅋㅋ....jpg","이쯤에서 본인 팔로우 목록 공개한다","카카시 자기 오리지널 술법만 줄창써대는데 ","제이스 매드무비","근데 버섯 비싸게 사주는애 이번작은 없음?","골든차일드 wannabe 노래 좋은데","장나라 유산 했나보네","카톡 차단기능 ㄹㅇ 최강 으로 이용하는법","솔직히 철구도 염보 없었으면 무엔터에 따엿을걸"
"73","켕하 ㅋㅋ","자낳대 선수 정리된거 없냐","고속이나 진학사 정확한거임?","카카시랑 우보긴이랑 싸우면","롯데리아 맥도날드 맘스터치 버거킹 KFC 순위매겨바","드특은 변돌로도 반반이야?","기사링크)부정투표 멤버 나옴 ㄷㄷ","방탄 관계성으로 오지게 영업하더니 ㅋㅋㅋㅋ","아사히가 가면라이더로 변신해서 메구루한테 총쏘는짤","윤종 오메 택용은 염보 왜기다리냐 보라할 능력되자나"
"74","좆노잼 씨발ㅋㅋ","래퍼드피셜) 원딜은 CS나 먹는 노가다","타락천사 질문 받습니다... ★","백안은 왜 만화경 백안 없음","근대 보지냄새 심하다면서 왜빰?","짱깨들 집단구타만 쓰면 블스 존나냄","김민규 이진혁 혜화 떳긔","골든글로브 2020 노미 중계 있다","다들 란코팬티에 정신을 못차리네","<위대한의 방송 역사에 대해 써준다>"
"75","팡하 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ","레퍼드는 저거 해주는 이유가 뭐냐? 지금도","가천대 성신여대 어디가 더쌤?내가 여대 입결을몰라서 ㅇ","만갤러들 설마 찐따냐?","고추빨아달라고","세준좌 마이크가 구린거였네","브이앱 켜!","방탄은 개인 sns못하는게 젤 답답할거 같음ㅋㅋ","어휴 한남새끼들","남순이는 나루토에 비유하자면 얘 아니냐?"
"76","만원ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","왜냐맨은 아예 밴픽 다 짜왔네","진지하게 컴활따고 공무원 학원가서 공시파야겟네","만갤에 예전에 파이어펀치 1화 올라온거 삭제됨?","탑 못해먹겠노 ㅋㅋㅋ","스톤샤워 기머 구함","이 둘 무슨 사이일깡?","얘들아 가요무대 시작한다 보자","나기야 나기야 이리 날아 오너라","애피셜)) 임아니가 상호뺏으려고했었다"
"77","젠틀ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","얍얍팀에 사신뿌라자 생각만해도 꿀잼각 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","건조한 환경 예민한사람잇냐","나는 아직도 무한 츠쿠요미의 꿈을 꾼다","술마시고 롤하는데 왜 다 이기지","별아상한 따라큐도 다보네","카톡 이모티콘 왤케 별로지 디씨콘이 더 좋긔","임신했던거 맞누","팬티 먹은거는 진짜 선넘었는데","여캠좀 찾아주십쇼 인방갤 형님들!!.jpg"
"78","광하 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ","한동숙 사신이랑 래너드 대우 왜 이렇게 다름?","내일 오전 9시 전공시험잇는데 공부안돼노","히나타보다 하나비가 더 예쁨","자꾸 롤할때 룬페누를때 효과음인지뭔지 자꾸 가끔씩들리는데 나만그래?","온라인 어캐사는게 제일싸나요","서가대 투표하고 왔긔","장나라 유산된거네","도장 하루에 팬 2만명정도 벌리네","짱교용 ㄹㅇ 예능감 지리네 ㅋㅋㅋㅋㅋㅋ"
"79","만원ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","동수칸팀은 코치 꽉찬거같은데 그럼 사신은 어디감???","진지하게 자지 10cm이하 개추","마리 진짜 작네","명품상자 30개 질렀어요","얍얍이 뭔가보니까 하스했던애네","실기보는과 붙었긔","오늘 손예진 미친거 아니냐 ㅋㅋㅋ 와 ㅎㄷㄷㄷ","크르르르 란코팬티","아프리카 지금 노잼인이유.jpg"
"80","창렬ㄹ ㅋㅋㅋㅋ","동수칸 채팅창에 회식도르 보자마자 초대하네 ㅋㅋㅋ","우리반 여자애 쌍수했는데 ㄹㅇ존나 이뻐짐","암살용에 안성맞춤인 기술.jpg","모찌누나 이쁘네","알바는 당장 코드를 걸어라","언냐들 끄붕이 요리 잘해","암만봐도 이장우  임수향 사귀는듯","오우","썩순이가 지금 예전 악성 연예인 빠순이 보는거 같노ㅋㅋㅋ"
"81","먹튀네","래퍼드 한판피드백하고 바로 회식 같이하자고 제안받노ㅋㅋㅋ","논술충원 아무리높아도 50퍼는 못넘냐?","번개.....잘랐다고......","초시계존야 너프좀 ㄹㅇㅋㅋ","지금부터 명랑 5V 3유전기 염버니 한 박스 뿌린다","글신고 존나 좆같이 바꼈네","방탄 역겨운점","짱끼 저 캐릭 좀 꼴리는 캐릭임???","존나 남순님한테 어이없는게 많은데"
"82","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","래퍼드 그래도 c9 레전드급 대우 어니냐","물리학교수 vs 의대교수 누가더똑똑함???","최고의 야구만화.jpg","내가 먼저 일방적으로 쳐냈는데","얍얍이처럼 세계 100등도 못하는 포갤허접들이 욕하네","턱신이는 앞으로도 잘안풀릴거긔","나정선 임신했었네 ㅋㅋㅋㅋㅋ","어깨가 너무 결려서 파스를 붙였어요","철구는 염보성덕분에 꿀 마니 빨았지"
"83","천원짜리 ㅋㅋㅋㅋ","한규형 밴픽 쉬움","나 타락했다... 질문받는다...","스위치 도네이션 받습니다. 젤다 전설 포함하면 더 좋구요","근데 도파 한국서버 못하는걸로아는데 가끔 한국섭하는거 대리야?","마스터볼 시세가 어떻게되나요","진짜 엽떡은 맛옶어","돈을 올려받든 아니든 함께해야지 만약 한명 나가면","1인당 생애주기 적자","하.. 4분후 별딩인데 볼거냐?."
"84","광하 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","동수칸 래퍼드 만난지 1시간 도안걸리고 회식 권유 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","고속 연초(적정이랑 3점차이인가)인데 진학사 2칸... ㅁㅌㅊ?","히나타 닮은 여자애랑 같은반이었는데","고닉표시 애미뒤지게바꼈네ㅇ","얍창낫내","뉴이앰 언냐 이거 보시긔 스쉽 차기 숙소 ㅇㅇ","자살 ㅅㅂ ","란코 팬티가 진짜 미쳤다니까","●이상호 대통령아라며 ㅋㅋㅋㅋㅋㅋㅋ"
"85","야갤러들이 모르는거 보니 인싸짤 맞네 ㅋㅋㅋㅋ","ㅇ","나 지금 이거 보고 마음 심란해짐","고닉에 뭐 또 이상한거 다네 ","랜덤 움짤2","이러다 skt t1에서 데뷔하는거 아니냐?? 얍얍이","가리비 주문했는데 존나 비싸","문근영이는 너무 많이 울어","씹레 마스터 풀콤 못친거 50개 정도인데","남순님 존나 어이없네요"
"86","전하 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ","한동숙 ㅈ망 분위기에서 갓코칭 들으며 행복사중ㅋㅋㅋㅋㅋㅋㅋ","[속보] 최종훈 자살함.jpg","유동 아이피 감추는 꿀팁","요즘 좆유입들이 빠는 '엄준식' 과거","차단단어 얍얍으로 하면 해결되잖아","뿡 그냥 군지각이야?","문근영캐 끝까지 지밖에 모르네","피규어가 부끄러운게 아니라 그걸사는 자신이 부끄러운","별딩마지막화 ㅠㅠ"
"87","djㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","레퍼드는 돈줘야될걸 회식으로 퉁치는거지 ㅋㅋㅋ","유동이 신청하면 눈사람 주는거 커엽노 ㅋㅋ","나루토 빌딩세운거 ㄹㅇ 병신같았는데","여친 오줌 마시기 개추 vs 여친이 얼굴에 침 뱉어주기 비추","너트령은 다맥 거의 안 시키지?","윽신이 미스터트롯 꾸역꾸역 나갈바에","군대도 보석금면제 있어야 한다고 생각함","4년 뒤.gif","내년 염보성 김택용 박광우 셋이 위례에서 뭉칠거다"
"88","전하ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","그때 회식 얘기들을라고 필리버스터 토크쇼하던거 생각하면ㅋㅋ","문법 노베이스","뭐임 유동도 옆에 뭐 달수있냐","7일안에 그랜드마스터 갈거임ㅇㅇ","이 게임에 프로가 있냐?? 얍얍이 데뷔해야 진짜 프로탄생임","머휘 커여워","김건모가 강간범이 맞는거야?","솔직히 피규어 별 생각없는데","염보 보라비제이에서 어느정도였냐 "
"89","디제이 ㅋㅋㅋㅋㅋㅋㅋㅋ","시발 소우릎 보다가 인섹보고 사신보다가 래퍼드보고 씹 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","이과 올2컷이면 누백몇퍼정도임?","고딩 디컵 혼딸 레전드","김민아12","뉴비 마볼달성 실전팟","야 브이앱 켜!","vip광고 끝 보자 긷줌들아","뭐야 눈사람 안되잖아","남순이는 뷰봇관련 질문 반드시해야지"
"90","천원ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","동수칸 이번코치 처음 보자마자 회식초대하네","육사갈건데 학원끊고 대성만해도 될까??","미소녀가 되고싶다","우리혜지들도뭉쳐야합니다","렌탈티 제도가 ㅈ노답인게","김요한 프사 애미들이 다 보는거 알고올리는거겠지?","김건모는 왜 자꾸 콘서트 열고 누워서 노래 부르는거야?","디비전... 사라고...","꿀탱탱 임선비랑 헤어진것도"
"91","dj허준 ㅋㅋㅋㅋ","사신 분노의 펨코 글 작성ㅋㅋㅋㅋ","아니 ㅅㅂ 쥬지 18센지가 가능해?","카피닌자 카카시(뇌절만 씀)","롤 개씨발 팀운 ㅋㅋㅋㅋ","극딜님피아 노력치에 스핏업는데 선공이됌?","룩엣더미 HA","최근 소속사 분쟁 있던 연옌들 다 소속사 나오긴 함","치유키 코가네 린제 유닛어떰","진짜 철구 제대하고도 염보한테 갤 뺏길지 궁금하긴함 ㅋㅋ"
"92","천원ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","사신 이새끼 비집고 들어갈 자리 졷얍팀밖에 없겠네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","자야지 4시기상 예정","나루토 보면서 가장 실망했을때가","상위 티어 보다가 내 리플 보니까 문제점 한가지 보임","님들 내마위 트위터편 나옴 ㅋㅋ","엽떡에 베이컨추가","방탄 뷔랑 진은 빨리 배우 데뷔해야지","근데 이거 엉덩이가 팬티 먹은건가","엔젤 두환"
"93","문화 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","잘못하면 이분도 자낳대 하고 있었을듯.jpg","진지하게 경희공대 vs 시립대","마동석 생각보다 영어 잘하네","노브라 꼭지","켄타로스 등심 스테이크","엘사안나 호모갤 설국열차갤러리","엑소에서 시우민이 제일 귀여운데 이번 활동 시우민이 없어서 영","@갤에 성인 피규어 모으는 취미도 있잖아","남순이가 봉준이 눈치를 볼 필요가 없음"
"94","디제이 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ","조기축구하는데 프리미어리그출신 감독을 대려와?","아니 왜 내 댓글엔 찐밖에 안달리냐","나루토 꼴리는 캐.jpg","진자 최시원 반만 닮고싶다 존나 잘생겼네 하","그래서 여기서 얍얍이보다 랭크 높은얘 몇명있는데 ㅋㅋㅋ","샤브샤브랑 월남쌈 먹고싶긔","양준일 팬카페 방문수 하루 33만명 ㄷㄷ","효리 카호 아마나 조합나옴?","별딩 5분전ㅋㅋ  별비 표정 보고싶눜ㅋ"
"95","DJ허준ㅁㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","루사시청자폭왤캐 만흥","어느정도까지가 좆반고냐","근데 무한츠쿠요미 왜 하면안되냐","삭재업)일본...공중파...레전드녀...jpg","스트리머 갤러리를 대표해서 사과드립니다....","조승연 이한결 남도현 가로수길","자살함?","@붕이 어린시절...추억의 애니채널...","않이 근데 별딩인가 보니깐 2,300따리더만"
"96","DJ허준 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ","아니 씨발 포켓몬 대회 이거 몇시까지 하는거야","서성한 이상 정시로 가는거보다 9급공무원이 쉽지않나","이거 뭐냐","짤녀한테 똥꼬빨리기 vs 짤녀 똥꼬빨기","대회 하는거 봤는데 얍얍인지 뭔지 몰라도","엽떡 먹고 싶긔","고딩 디컵 혼딸 레전드","한국 방영한 좆본애니 하면 이누야샤가 ㄹㅇ인데","썩견, 남견, 가축, 봉퀴보다 저정도면 찬양을넘어 종교수준아니냐"
"97","거의 10년전 네이버 붐 감성인데 ㄹㅇ","얍얍이 진짜 운은 좆나게 없네 ㅋㅋㅋ","인서울 다 떨어지고 전문대 넣었다..  떴냐?","근데 끝까지 재밌던건 나루토밖에 없었다","고추 빨아줘",NA,"남앰들 여기서 남 찾는 eu","진정한 슈퍼스타란?","와 란엉코덩이 뭐야","염짱성 전역 3개월 남음. 100일후 롤판 먹는다."
"98","dj허준 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","무슨세준인지 하는 사람 일본 포덕들한테 존나 유명하던데","나 쥬지 18cm인데","그림자분신술 왜 금지술법이었지","개념가는법.jpg",NA,"오늘 실기하는데 어떤 온냐","손예진 송혜교 둘다 ","이게 가불기인가 뭔가 하는거냐","임아니말하는데 딱느꼇다"
"99","허준ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",NA,"안드로이드 백그라운드에서 음악 재생 가능한 앱 ","먹던 피자를 빼앗긴 마리.jpg","요즘 말자하 ㄹㅇ 개씹구데기같은데",NA,NA,"동방도 동방 대 소속사로 싸우다 스엠에서 두명",NA,"갓성은 그만좀 실망해 이색기야 ㅋㅋㅋㅋ"
"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
